term,estimate,std.error,statistic,p.value
bp_valid.Q:pretrainedTRUE:archresnet18d,-0.07755943252228178,0.01605405847672462,-4.831141772326819,1.364212259351792e-6
bp_valid.C:pretrainedTRUE:archresnet18d,0.02741007272901215,0.01605405847672466,1.707360962260824,0.08776531944016128
bp_valid^4:pretrainedTRUE:archresnet18d,7.421036900947079e-4,0.01605405847672478,0.04622530129503464,0.9631309839120976
bp_valid^5:pretrainedTRUE:archresnet18d,-6.922802124106038e-4,0.016054058476724656,-0.043121819533314835,0.9656047127282936
bp_valid^6:pretrainedTRUE:archresnet18d,-0.014527284850256863,0.01605405847672405,-0.9048979652914074,0.36552670529762366
bp_valid^7:pretrainedTRUE:archresnet18d,0.00835168906678889,0.016054058476724822,0.5202229130345557,0.602912052429859
bp_valid^8:pretrainedTRUE:archresnet18d,-0.004904875439517043,0.01605405847672483,-0.30552246004511135,0.7599703844128527
bp_valid.L:pretrainedTRUE:archresnet50,-0.015935697324084012,0.016054058476724677,-0.9926273376409918,0.32089959598888856
bp_valid.Q:pretrainedTRUE:archresnet50,0.009914230992099397,0.01605405847672464,0.6175529388081628,0.5368747578082058
bp_valid.C:pretrainedTRUE:archresnet50,-0.019836081475699888,0.01605405847672453,-1.235580492276056,0.2166242061793407
bp_valid^4:pretrainedTRUE:archresnet50,-0.013132989661928409,0.016054058476724666,-0.8180479522339319,0.4133362981229002
bp_valid^5:pretrainedTRUE:archresnet50,0.03741111507701908,0.016054058476724677,2.330321340940552,0.019795763095640805
