,sample_number,species,collector,collection,country,dna_concentration,library_id,filename_root,insert_size,content_sd
82,83,S_bogotense,Neill & Cerón,7556,Ecuador,42.0,S-83,PREP0024_RAsprSUB09764A_F04v1_S-83,150.66105159638667,0.000837771256020471
3,4,S_paralias,Andrade,321,Brazil,45.2,S-4,PREP0024_RAsprSUB09764A_G07v1_S-4,157.07299787105939,0.0008429480917966357
18,19,S_ciliatum,Krapovickas & Cristóbal,40317,Brazil,12.3,S-19,PREP0024_RAsprSUB09764A_A09v1_S-19,152.81185833128364,0.0008449255377504232
38,39,S_bonariense,Zardini & Vieira,43963,Paraguay,56.4,S-39,PREP0024_RAsprSUB09764A_F09v1_S-39,126.66848963147292,0.0008481882181449917
35,36,S_bonariense,Vanni et al.,3264,,89.2,S-36,PREP0024_RAsprSUB09764A_F12v1_S-36,130.25972859957855,0.000857350932448681
34,35,S_bonariense,Belgrano et al.,293,Argentina,63.2,S-35,PREP0024_RAsprSUB09764A_C08v1_S-35,134.45411256529545,0.0008736205282065769
6,7,S_paralias,Santos,308,Brazil,35.0,S-7,PREP0024_RAsprSUB09764A_H07v1_S-7,158.02230120065605,0.0008762310204676539
45,46,S_ellipticum,Naczi,11295,Belize,88.6,S-46,PREP0024_RAsprSUB09764A_E12v1_S-46,164.93580713241911,0.0008873395996668945
80,81,S_bogotense,Sánchez V. et al.,9598,Peru,49.0,S-81,PREP0024_RAsprSUB09764A_F08v1_S-81,133.35814560678583,0.0009124453900731563
97,98,S_bannisterioides,Hahn,4814,Guyana,too high,S-98,PREP0024_RAsprSUB09764A_C03v1_S-98,148.76273452969573,0.0009224070376687863
57,58,S_emarginatum,Croat,60848,Puerto Rico,43.6,S-58,PREP0024_RAsprSUB09764A_F11v1_S-58,140.7665685600456,0.0009255983177737278
65,66,S_puberum,Steyermark,87775,Venezuela,100.0,S-66,PREP0024_RAsprSUB09764A_B09v1_S-66,137.28516021740606,0.000934467430453736
84,85,S_bogotense,Tuberguia et al.,54,Colombia,2.8,S-85,PREP0025_RAsprSUB09764A_E01v1_S-85,172.54683974049678,0.0009519891081339201
5,6,S_paralias,Harley,27091,Brazil,40.6,S-6,PREP0024_RAsprSUB09764A_E11v1_S-6,148.713377024312,0.0009542556395160833
76,77,S_lindenianum,Pascual,2053,Mexico,66.2,S-77,PREP0024_RAsprSUB09764A_F06v1_S-77,146.40157267172253,0.0009584522597629853
21,22,S_jatrophifolium,Zardini & Degen,4026,Paraguay,77.8,S-22,PREP0024_RAsprSUB09764A_A08v1_S-22,157.13567696981178,0.0009885017570510453
70,71,S_lindenianum,Daniel,7061,Belize,66.0,S-71,PREP0024_RAsprSUB09764A_F07v1_S-71,126.64825405764107,0.0009936328102130723
67,68,S_puberum,Wilbur,23362,Costa Rica,19.5,S-68,PREP0024_RAsprSUB09764A_C02v1_S-68,140.48267474255752,0.001009198076832882
72,73,S_lindenianum,Nelson & Cruz,8813,Honduras,26.6,S-73,PREP0024_RAsprSUB09764A_A03v1_S-73,137.593428133307,0.0010311694758374165
46,47,S_ellipticum,Stevens,3642,Nicaragua,22.4,S-47,PREP0024_RAsprSUB09764A_C10v1_S-47,127.00015008265692,0.0010457352050437724
51,52,S_emarginatum,Veloz et al.,251,Dominican Republic,44.4,S-52,PREP0024_RAsprSUB09764A_B08v1_S-52,131.1784344928919,0.0010498513924714148
12,13,S_ciliatum,Krapovickas & Cristóbal,37737,Brazil,1.89,S-13,PREP0025_RAsprSUB09764A_F03v1_S-13,131.10878652098458,0.0010524264181831855
39,40,S_bonariense,Arbo et al.,6045,Argentina,77.0,S-40,PREP0024_RAsprSUB09764A_H12v1_S-40,152.4927869552834,0.0010623360644880597
14,15,S_ciliatum,Vincent,6222,Belize,25.0,S-15,PREP0024_RAsprSUB09764A_A11v1_S-15,152.0995817200479,0.0010741772245262135
36,37,S_bonariense,Zardini & Gamarra,59207,Paraguay,53.2,S-37,PREP0024_RAsprSUB09764A_D11v1_S-37,162.9237883734028,0.0010766875919053192
54,55,S_emarginatum,Webster et al.,8229,Jamaica,52.4,S-55,PREP0024_RAsprSUB09764A_A07v1_S-55,144.33638155611294,0.0010905607052160685
29,30,S_jatrophifolium,Zardini & Velásquez,10031,Paraguay,10.3,S-30,PREP0024_RAsprSUB09764A_D05v1_S-30,130.90658102587588,0.0010947403736235846
93,94,S_bannisterioides,Feddema,2033,Colombia,120.0,S-94,PREP0024_RAsprSUB09764A_C12v1_S-94,164.51448254338337,0.0011370371641515726
77,78,S_lindenianum,Anderson,13790,Costa Rica,85.0,S-78,PREP0024_RAsprSUB09764A_C09v1_S-78,127.24420829328999,0.0012091239282820986
